L 08/07/2020 - 00:03:30: SourceMod log file session started (file "/hlserver/tf2/tf/addons/sourcemod/logs/L20200807.log") (Version "1.10.0.6490")
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "psychedelic symphony<42><[U:1:141667583]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "bongwater<16><[U:1:165550523]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Zesty Jesus<21><[U:1:92165345]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "ho chi minh monkey scandals<29><[U:1:491712428]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Cla<28><[U:1:93046991]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "PoneD<35><[U:1:150687273]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "psychedelic symphony<42><[U:1:141667583]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "bongwater<16><[U:1:165550523]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Zesty Jesus<21><[U:1:92165345]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "ho chi minh monkey scandals<29><[U:1:491712428]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Cla<28><[U:1:93046991]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "PoneD<35><[U:1:150687273]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "psychedelic symphony<42><[U:1:141667583]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "bongwater<16><[U:1:165550523]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Zesty Jesus<21><[U:1:92165345]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "ho chi minh monkey scandals<29><[U:1:491712428]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Cla<28><[U:1:93046991]><>"
L 08/07/2020 - 00:03:30: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "PoneD<35><[U:1:150687273]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "psychedelic symphony<44><[U:1:141667583]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Zesty Jesus<21><[U:1:92165345]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "ho chi minh monkey scandals<29><[U:1:491712428]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "Cla<28><[U:1:93046991]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 18 to "PoneD<35><[U:1:150687273]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "psychedelic symphony<44><[U:1:141667583]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Zesty Jesus<21><[U:1:92165345]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "ho chi minh monkey scandals<29><[U:1:491712428]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "Cla<28><[U:1:93046991]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 15 to "PoneD<35><[U:1:150687273]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Aar<4><[U:1:89189905]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "???<3><[U:1:109549249]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Burning Inferno<5><[U:1:191791256]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "LegendChaser<6><[U:1:196324397]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Mcflareydoesnaenae<33><[U:1:202837776]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "GardenOfStone<9><[U:1:1109604806]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Cowins_x<10><[U:1:337007957]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Codename: BIG GREASY<38><[U:1:85414112]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Eggbot #469 2.0<43><[U:1:444879700]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "psychedelic symphony<44><[U:1:141667583]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Yellow1Nick<32><[U:1:1013322972]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "mom please stop<18><[U:1:195199525]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Strobe<27><[U:1:84178826]><>"
L 08/07/2020 - 00:04:08: [tf2items_giveweapon.smx] "???<3><[U:1:109549249]><>" gave a permanent weapon 2 to "Zesty Jesus<21><[U:1:92165345]><>"
